arabic market name ,price for 1kg,perfume code,compny tag
خوخ (مبخرة),18,,EMSA
دارج,80,,EMSA
در النجف,36,,EMSA
دراكار,48,,EMSA
دراكار نوار,54,,EMSA
دزاير بلو,46,,EMSA
D&G L3 دولجيكابانا,50,,EMSA
دعاء الجنة,34,,EMSA
دكني بي دليشز,؟,,EMSA
دلع البنات,54,,EMSA
دنهل الماني,54,,EMSA
دنهل بورهوم,48,,EMSA
دنهل بيرسيوت,50,,EMSA
دنهل دزاير اسباني,44,,EMSA
دنهل دزاير فرنسي,48,,EMSA
دنهل دموي,44,,EMSA
دنهل فريش,52,,EMSA
دنهل كلاسيك,48,,EMSA
ديفد بيكهام,48,,EMSA
داهيلا دفن جيفنجي,48,,EMSA
دارج نسائي,58,,EMSA
درهم,60,,EMSA
ديور هوم,55,,EMSA
دوف (م),18,,EMSA
ذه اصفر,52,,EMSA
ذه وان D&G,46,,EMSA
رازقي,32,,EMSA
راكان,100,,EMSA
رامبا,48,,EMSA
ريجي ريجي,46,,EMSA
رشا,44,,EMSA
رغبة,58,,EMSA
ريكسونا,60,,EMSA
رهيب,70,,EMSA
روز تالك,26,,EMSA
روز سوفاج,24,,EMSA
روشار رجالي,54,,EMSA
روما,50,,EMSA
رومانتك,60,,EMSA
رومانتس رالف لورين,50,,EMSA
رومانتس رصاصي,60,,EMSA
رالف لورين,48,,EMSA
رويال FR,70,,EMSA
رويال رصاصي,56,,EMSA
ريال مدريد,46,,EMSA
ريف دور,44,,EMSA
ريمي ماركوس W,64,,EMSA
ريمي ماركوس M,58,,EMSA
راش RUSH فكتوريا سكرت,44,,EMSA
رومانتك فكتوريا سكرت,؟,,EMSA
رومانتك (م),40,,EMSA
رويال بلو,54,,EMSA
روز (م),26,,EMSA
رجل الليل,60,,EMSA
روبرتو كافالي,54,,EMSA
زارا وايت جاسمين,50,,EMSA
زارا نسائي,54,,EMSA
زهرة التوليب,72,,EMSA
زهرة الخليج,54,,EMSA
زهرة العنبر,50,,EMSA
زهرة منتصف الليل,54,,EMSA
زهرة البنفسج,40,,EMSA
زهرة الرومانس الخاصة,110,,EMSA
CH رجالي,46,,EMSA
CK1,50,,EMSA
سلطان العطور,64,,EMSA
سلفر شادو,50,,EMSA
سندس,60,,EMSA
سواردي باريس,34,,EMSA
سيدة الانوثة,50,,EMSA
سينما,50,,EMSA
سيكار,52,,EMSA
سري للغاية,60,,EMSA
سكر بنات,42,,EMSA
سوفاج,52,,EMSA
سامبا,50,,EMSA
سبلانديد,54,,EMSA
سترونك مان,52,,EMSA
"سكرت مان ""الرجل السري""",50,,EMSA
سكسي كرافت,42,,EMSA
سكلبجر,48,,EMSA
سلفر سنت,56,,EMSA
سلفر ماونت,60,,EMSA
سليبنك بيبي,32,,EMSA
سبراي,50,,EMSA
سينشوال,58,,EMSA
شاكيرا,50,,EMSA
